first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,target,address,postcode,state,country,property_valuation
Kalila,Birtwistle,F,94,1967-09-15,Design Engineer,IT,High Net Worth,N,Yes,8.0,0,67 Holmberg Way,2165,NSW,Australia,9
Norbert,Gotcher,M,15,1977-08-10,Quality Control Specialist,Telecommunications,Affluent Customer,N,Yes,19.0,1,3383 Fair Oaks Circle,3046,VIC,Australia,8
Cord,Warriner,M,58,1996-06-08,missing,Retail,Mass Customer,N,No,5.0,1,2 Vermont Avenue,2066,NSW,Australia,12
Lorry,Booley,F,47,1975-11-10,Teacher,missing,Mass Customer,N,No,21.0,0,486 Atwood Pass,2065,NSW,Australia,12
Nolie,Orring,F,16,1957-05-09,Research Associate,Manufacturing,High Net Worth,N,Yes,13.0,0,05 Loftsgordon Pass,4380,QLD,Australia,9
Leighton,Ebbles,M,24,1963-01-26,Nurse,Financial Services,Affluent Customer,N,No,17.0,0,570 Butternut Pass,2340,NSW,Australia,4
Cymbre,Janos,F,42,1985-07-19,Occupational Therapist,Health,High Net Worth,N,Yes,10.0,0,63 Grayhawk Pass,2769,NSW,Australia,9
Anna-diane,Preddle,F,20,1955-05-20,Software Test Engineer III,missing,High Net Worth,N,Yes,11.0,0,44594 5th Street,4220,QLD,Australia,9
Corissa,Zienkiewicz,F,53,1976-09-06,Physical Therapy Assistant,Retail,High Net Worth,N,No,17.0,0,495 Elmside Drive,2179,NSW,Australia,8
Miller,Faloon,M,60,1960-10-14,Senior Developer,Property,Mass Customer,N,Yes,8.0,1,9 Macpherson Avenue,2527,NSW,Australia,8
Toiboid,Sorrel,M,7,1955-04-01,Web Developer I,Health,Mass Customer,N,No,17.0,0,738 Division Street,3024,VIC,Australia,8
Adrian,Prettyjohns,M,0,1959-08-12,Legal Assistant,IT,Mass Customer,N,Yes,17.0,0,5 Sheridan Circle,3934,VIC,Australia,11
Jacquenette,Pluthero,F,88,1979-01-09,Assistant Media Planner,Entertainment,High Net Worth,N,No,16.0,0,42 Lunder Drive,2027,NSW,Australia,11
Matthiew,Ferreras,M,1,1994-11-27,Help Desk Operator,Manufacturing,Mass Customer,N,Yes,7.0,0,3 Hayes Court,3109,VIC,Australia,10
Ignazio,Milby,M,42,1973-11-19,Human Resources Assistant II,Manufacturing,Mass Customer,N,Yes,14.0,0,711 Sachtjen Point,2540,NSW,Australia,8
Natala,Thorndale,F,29,1975-11-10,missing,IT,Affluent Customer,N,No,13.0,0,16395 Nevada Lane,2145,NSW,Australia,10
Elvis,Rixon,M,16,1977-10-02,Mechanical Systems Engineer,Retail,High Net Worth,N,No,7.0,1,0996 Cody Terrace,2761,NSW,Australia,8
Suzann,Wilks,F,56,1990-03-04,Assistant Manager,Financial Services,Affluent Customer,N,Yes,14.0,0,80424 Corben Alley,2136,NSW,Australia,10
Iseabal,Fullbrook,F,16,1991-07-23,missing,Financial Services,Affluent Customer,N,Yes,6.0,0,37208 Golf View Terrace,2145,NSW,Australia,8
Rhodia,D'Onise,F,17,1992-06-05,Social Worker,Health,High Net Worth,N,Yes,2.0,1,1128 Golden Leaf Center,3124,VIC,Australia,9
Ario,Jeromson,M,69,1997-07-30,Quality Engineer,IT,Mass Customer,N,Yes,5.0,1,4885 Stone Corner Alley,3046,VIC,Australia,8
Vernon,Hakking,M,66,1994-07-29,missing,Financial Services,Affluent Customer,N,No,4.0,1,66 Hudson Crossing,2153,NSW,Australia,10
Rolando,Sherewood,M,33,1966-10-07,Statistician I,Financial Services,Affluent Customer,N,No,18.0,0,5287 Wayridge Alley,2069,NSW,Australia,12
Thorn,Torfin,M,10,1999-08-11,Project Manager,missing,High Net Worth,N,No,1.0,1,15393 Cody Lane,2046,NSW,Australia,9
Forbes,Londors,M,71,1997-02-15,VP Sales,missing,Mass Customer,N,No,4.0,0,1 Mcbride Center,2484,NSW,Australia,6
Nariko,Dummigan,F,9,1962-05-05,Food Chemist,Health,Mass Customer,N,No,5.0,1,4870 Shelley Alley,3225,VIC,Australia,7
Roi,Ogden,M,75,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,0,65634 Del Mar Crossing,4053,QLD,Australia,7
Maribelle,Werndly,F,36,1978-07-18,Executive Secretary,missing,Mass Customer,N,Yes,18.0,1,8572 Melvin Drive,3145,VIC,Australia,11
Jacob,Claringbold,M,70,1995-01-06,missing,missing,Affluent Customer,N,Yes,3.0,1,5549 Bay Point,4068,QLD,Australia,9
Denney,Cretney,M,16,1976-05-12,missing,missing,High Net Worth,N,Yes,3.0,0,9 Forest Circle,2324,NSW,Australia,3
Kara-lynn,Doddridge,F,77,1976-11-02,Operator,Retail,Affluent Customer,N,Yes,5.0,0,6 Kedzie Hill,2214,NSW,Australia,9
Randene,Ingle,F,6,1969-11-28,Paralegal,Financial Services,Mass Customer,N,Yes,12.0,0,60601 Hoffman Court,2041,NSW,Australia,12
Sissie,Rielly,F,95,1956-08-08,Human Resources Assistant II,Financial Services,Mass Customer,N,No,10.0,1,1715 Scoville Drive,2031,NSW,Australia,11
Fraser,Acome,U,57,1970-01-01,Engineer I,Manufacturing,Mass Customer,N,Yes,0.0,0,85 Laurel Trail,3809,VIC,Australia,6
Nona,Diamant,F,24,1975-03-14,missing,missing,High Net Worth,N,Yes,15.0,1,3082 Almo Center,2454,NSW,Australia,4
Jacenta,Wedlock,F,78,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0,0,27135 Melvin Plaza,4556,QLD,Australia,8
Free,Bonniface,M,95,1959-05-25,missing,Property,Affluent Customer,N,No,15.0,0,40 Kinsman Pass,2065,NSW,Australia,10
Isacco,Woodwind,M,0,1976-01-14,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,11.0,0,094 Green Road,2216,NSW,Australia,11
Giorgi,Hurford,M,34,1986-10-20,Sales Associate,Financial Services,Mass Customer,N,Yes,16.0,1,91 Spohn Plaza,4573,QLD,Australia,7
Frederico,Whilder,U,4,1970-01-01,Food Chemist,Health,High Net Worth,N,No,0.0,0,5 Jana Drive,4570,QLD,Australia,1
Aeriel,Everest,F,88,1986-05-08,missing,Financial Services,Mass Customer,N,Yes,19.0,0,201 Pepper Wood Avenue,2154,NSW,Australia,11
Shir,Clevely,F,0,1955-07-23,Budget/Accounting Analyst II,missing,Affluent Customer,N,No,11.0,0,4408 Haas Way,2171,NSW,Australia,9
Standford,Tanswill,M,39,1978-09-03,VP Accounting,Financial Services,Affluent Customer,N,No,11.0,1,6 Pawling Trail,2871,NSW,Australia,7
Braden,Lamming,M,99,1976-06-08,Internal Auditor,missing,Affluent Customer,N,No,15.0,1,31111 Hoepker Road,3034,VIC,Australia,9
Fraser,Gaenor,M,35,1996-03-02,Software Consultant,Property,Mass Customer,N,No,2.0,1,79 Lighthouse Bay Lane,3082,VIC,Australia,8
Marjie,Ghion,F,7,1973-07-29,Software Consultant,Telecommunications,Mass Customer,N,Yes,15.0,0,2354 Forster Road,2131,NSW,Australia,11
Xylia,Lange,F,34,1977-09-29,Help Desk Technician,Property,High Net Worth,N,Yes,14.0,0,5271 Vernon Court,3207,VIC,Australia,10
Dela,Flannigan,F,31,1986-02-02,Junior Executive,Financial Services,High Net Worth,N,No,3.0,0,06 Declaration Hill,3184,VIC,Australia,11
Davon,Stanyland,M,98,1962-05-20,missing,Manufacturing,Mass Customer,N,Yes,8.0,0,07716 5th Alley,2250,NSW,Australia,5
Natal,Matiewe,M,27,1983-08-09,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,13.0,1,10 Pennsylvania Hill,2118,NSW,Australia,11
Danell,Rose,F,30,1988-06-08,Data Coordiator,Manufacturing,Mass Customer,N,No,12.0,0,2330 Huxley Crossing,2570,NSW,Australia,10
Kendricks,Markel,M,96,1966-12-18,Software Test Engineer IV,Manufacturing,Affluent Customer,N,No,6.0,1,5811 Hanson Lane,2260,NSW,Australia,7
Laryssa,Durdle,F,73,1969-04-06,Registered Nurse,Health,Mass Customer,N,No,5.0,0,7 Main Crossing,2065,NSW,Australia,12
Gretel,Gionettitti,F,37,1987-10-24,Research Assistant IV,Retail,Affluent Customer,N,Yes,4.0,0,682 Spenser Plaza,3977,VIC,Australia,6
Chantal,Plante,F,68,1968-02-16,Account Representative III,Entertainment,High Net Worth,N,Yes,6.0,0,1149 Riverside Parkway,2016,NSW,Australia,11
Vanda,Boadby,F,88,1961-11-23,Associate Professor,Argiculture,Affluent Customer,N,Yes,13.0,0,1176 Pine View Lane,2112,NSW,Australia,11
Anderson,missing,M,34,1988-11-07,Speech Pathologist,Financial Services,Mass Customer,N,No,19.0,0,22 Sachtjen Avenue,2137,NSW,Australia,12
Tish,Mowett,F,32,1975-09-28,Junior Executive,missing,Mass Customer,N,No,14.0,0,6 Pankratz Crossing,2228,NSW,Australia,11
Terrence,Geck,M,22,1987-03-01,Actuary,Financial Services,Affluent Customer,N,Yes,13.0,0,6988 Acker Crossing,2217,NSW,Australia,10
Thornie,Andrusov,M,3,1977-06-13,Librarian,Entertainment,Affluent Customer,N,Yes,8.0,0,9993 Mccormick Street,2223,NSW,Australia,8
Chilton,Ghirigori,M,8,1962-06-27,Quality Engineer,Financial Services,Mass Customer,N,Yes,8.0,0,7 Holmberg Circle,2018,NSW,Australia,9
Hailey,Ricciardi,M,45,1995-10-06,Recruiter,Telecommunications,High Net Worth,N,No,12.0,0,7 Village Green Circle,3109,VIC,Australia,10
Berri,Cotillard,F,13,1965-05-17,Engineer IV,Financial Services,Mass Customer,N,Yes,13.0,0,4044 Tennessee Parkway,2315,NSW,Australia,9
Frazer,Searston,M,5,1995-03-21,missing,Health,Mass Customer,N,Yes,3.0,1,4297 Emmet Lane,2170,NSW,Australia,8
Reese,Titterington,M,85,1976-04-15,Web Designer I,Telecommunications,Mass Customer,N,No,15.0,0,6 Sycamore Drive,4053,QLD,Australia,7
Albert,Gomery,M,5,1995-06-04,Account Representative IV,missing,Mass Customer,N,No,1.0,0,6 Barby Road,4300,QLD,Australia,4
Chrisy,Miranda,M,68,1986-12-29,missing,Retail,High Net Worth,N,No,1.0,0,37495 Summerview Park,2619,NSW,Australia,7
Curt,Petrello,M,60,1957-06-01,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,0,3 Center Crossing,2452,NSW,Australia,3
Elbertina,Donne,F,77,1980-02-25,Associate Professor,missing,Affluent Customer,N,Yes,7.0,0,19386 Burrows Way,2229,NSW,Australia,10
Griswold,Juett,M,43,1974-07-14,Accounting Assistant IV,missing,High Net Worth,N,Yes,18.0,1,4 Quincy Trail,2800,NSW,Australia,3
Cullin,Elcoate,M,26,1967-07-25,Administrative Officer,Manufacturing,High Net Worth,N,No,7.0,1,69881 Westport Parkway,2880,NSW,Australia,1
Siegfried,Trattles,M,33,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0,1,44 Ramsey Road,2515,NSW,Australia,9
Sheba,Este,F,8,1955-10-11,missing,Telecommunications,Mass Customer,N,Yes,18.0,0,12764 Raven Plaza,4020,QLD,Australia,7
Abe,Pilley,M,69,1976-06-05,Executive Secretary,Manufacturing,Mass Customer,N,No,20.0,0,356 Petterle Way,2193,NSW,Australia,9
Dennie,L' Anglois,M,70,1978-01-03,Nurse Practicioner,Manufacturing,Mass Customer,N,No,18.0,0,2827 Fallview Lane,2064,NSW,Australia,9
Monah,Talbot,F,70,1999-12-26,Speech Pathologist,Property,Mass Customer,N,Yes,2.0,0,7 Del Sol Road,4220,QLD,Australia,9
Marga,Cradduck,F,25,1985-10-21,Social Worker,Health,Mass Customer,N,No,16.0,0,05415 Basil Junction,2450,NSW,Australia,8
Guinevere,Kelby,U,90,1970-01-01,Financial Analyst,Financial Services,Mass Customer,N,Yes,0.0,0,09 Warbler Court,4152,QLD,Australia,9
Chadd,Fowlds,M,46,1996-08-07,VP Product Management,missing,Affluent Customer,N,No,1.0,0,847 David Hill,4035,QLD,Australia,8
Serena,Jagson,F,54,1994-05-18,Accounting Assistant I,Retail,Affluent Customer,N,No,8.0,1,24596 Hoepker Avenue,2322,NSW,Australia,4
Lucho,Strafen,M,4,1975-09-12,Internal Auditor,Health,Mass Customer,N,No,8.0,0,75 Mesta Hill,4509,QLD,Australia,7
Ezechiel,Parnall,M,84,1989-06-21,Statistician IV,Property,Mass Customer,N,Yes,4.0,1,7258 Mandrake Terrace,3138,VIC,Australia,9
Lian,Madrell,F,39,1979-09-18,Financial Analyst,Financial Services,Mass Customer,N,Yes,8.0,0,84741 Scoville Terrace,3029,VIC,Australia,5
Andy,Polgreen,F,19,1989-07-21,Design Engineer,missing,High Net Worth,N,Yes,3.0,0,04328 Rowland Plaza,3441,VIC,Australia,9
Korney,Hess,F,90,1988-09-17,Product Engineer,Property,Affluent Customer,N,No,12.0,1,332 Maywood Crossing,3136,VIC,Australia,9
Lorettalorna,missing,F,15,1975-07-15,Computer Systems Analyst II,Telecommunications,Affluent Customer,N,No,17.0,1,6026 Graceland Crossing,2121,NSW,Australia,11
Keith,Housden,M,19,1980-04-15,missing,Health,Mass Customer,N,No,15.0,1,0 Fremont Court,3023,VIC,Australia,7
Katlin,Creddon,F,56,1935-08-22,VP Quality Control,Retail,Mass Customer,N,No,5.0,0,5515 Artisan Center,3337,VIC,Australia,3
Clarita,Penright,F,63,1996-09-13,Business Systems Development Analyst,missing,Affluent Customer,N,No,5.0,1,0 Nevada Pass,2216,NSW,Australia,10
Shaughn,Salters,M,48,1975-12-27,Dental Hygienist,Health,High Net Worth,N,No,19.0,1,06 Heffernan Junction,4074,QLD,Australia,7
Emelda,Gerler,F,2,1958-08-29,Project Manager,Health,Mass Customer,N,No,6.0,0,04 Onsgard Center,2101,NSW,Australia,9
Jakie,Mungham,M,33,1969-11-29,Software Test Engineer I,Health,High Net Worth,N,No,14.0,0,37 Division Way,2153,NSW,Australia,9
Gwenora,Grabbam,F,71,1968-01-31,Engineer II,Financial Services,Mass Customer,N,Yes,18.0,0,9623 Fisk Plaza,2164,NSW,Australia,8
Maure,Crow,F,99,1989-02-01,Administrative Assistant IV,Financial Services,Mass Customer,N,Yes,12.0,1,9419 Homewood Way,2160,NSW,Australia,9
Jarrett,Maffia,M,12,1975-01-13,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,11.0,0,26349 Spaight Junction,2756,NSW,Australia,8
Cord,Braundt,M,59,1983-01-02,Engineer I,Manufacturing,Mass Customer,N,No,15.0,0,1063 Forest Avenue,4510,QLD,Australia,3
Haily,McWilliams,F,76,1968-12-22,Senior Editor,missing,Mass Customer,N,No,15.0,0,548 Dahle Lane,2075,NSW,Australia,11
Stephana,Puzey,F,16,1976-08-17,Recruiting Manager,Manufacturing,Affluent Customer,N,No,15.0,1,4 Barby Road,2647,NSW,Australia,3
Glynnis,Sailor,F,76,1978-01-30,Financial Advisor,Financial Services,High Net Worth,N,Yes,20.0,1,258 Luster Court,2154,NSW,Australia,10
Jewelle,Pincott,F,82,1959-12-31,Programmer III,Retail,Mass Customer,N,No,8.0,1,22669 Lien Center,2565,NSW,Australia,6
Sherman,McCusker,M,39,1990-02-10,General Manager,missing,Mass Customer,N,No,18.0,0,9 Autumn Leaf Court,2731,NSW,Australia,4
Sibyl,Bigmore,F,2,1962-12-17,Software Consultant,Retail,Mass Customer,N,No,15.0,1,9 Superior Plaza,3185,VIC,Australia,11
Maridel,Whitby,F,70,1974-07-17,Social Worker,Health,High Net Worth,N,No,18.0,0,86603 Dexter Road,2164,NSW,Australia,9
Ginnie,Farriar,F,86,1962-03-06,Dental Hygienist,Health,Mass Customer,N,No,17.0,0,8 Ridgeview Park,2323,NSW,Australia,5
Nestor,Billingsley,M,21,1989-09-01,Web Developer II,Entertainment,High Net Worth,N,No,6.0,0,4754 Ramsey Junction,3130,VIC,Australia,9
Lazar,Cherryman,M,73,1991-03-17,Information Systems Manager,Retail,High Net Worth,N,No,12.0,0,9 Dayton Alley,3757,VIC,Australia,7
Zach,Maynard,M,96,1960-03-04,Director of Sales,missing,High Net Worth,N,Yes,18.0,1,08 Carey Center,3284,VIC,Australia,6
Jarrett,Chiplin,M,25,1981-05-22,missing,missing,Mass Customer,N,Yes,13.0,0,915 Thackeray Junction,2204,NSW,Australia,11
Dorie,Willock,M,45,1992-06-24,Recruiter,Property,Mass Customer,N,No,6.0,1,515 3rd Road,2037,NSW,Australia,12
Evonne,Southan,F,96,1976-06-03,Structural Engineer,Retail,Mass Customer,N,No,14.0,0,184 Roth Pass,4211,QLD,Australia,7
Merola,Stutard,F,33,1970-01-18,Account Coordinator,missing,High Net Worth,N,Yes,17.0,1,84 Porter Alley,2153,NSW,Australia,10
Tori,Coche,F,59,1974-06-26,Assistant Manager,Health,Mass Customer,N,Yes,16.0,0,79494 Ruskin Circle,2527,NSW,Australia,9
Georgena,Guilaem,F,83,1975-12-01,Quality Engineer,missing,Affluent Customer,N,No,14.0,1,98 Schiller Junction,2747,NSW,Australia,9
Colline,Coulman,F,95,1975-12-19,Sales Representative,Retail,Mass Customer,N,Yes,9.0,0,20519 Katie Circle,2152,NSW,Australia,8
Lemmy,Bennit,M,43,1976-10-09,missing,Entertainment,Mass Customer,N,Yes,19.0,1,2273 Oneill Place,2118,NSW,Australia,11
Jacquelyn,Rowlinson,F,87,1980-08-31,Web Developer IV,Retail,Affluent Customer,N,No,12.0,0,03 6th Alley,2168,NSW,Australia,9
Dione,Raithby,F,30,1984-01-21,Registered Nurse,Health,Mass Customer,N,Yes,3.0,0,8548 Hanover Park,2067,NSW,Australia,11
Gerladina,Carney,F,59,1985-12-19,missing,missing,Mass Customer,N,No,11.0,0,4079 Lindbergh Center,3021,VIC,Australia,8
Dominick,Downey,M,50,1962-06-18,missing,Property,Mass Customer,N,No,13.0,0,338 Grasskamp Lane,2573,NSW,Australia,7
Eben,Threader,M,36,1965-02-03,Health Coach III,Health,Affluent Customer,N,Yes,9.0,0,0355 3rd Drive,2118,NSW,Australia,11
Raff,Everley,M,25,1990-01-19,Software Test Engineer III,IT,Affluent Customer,N,No,9.0,0,0182 Esker Center,2759,NSW,Australia,9
Atlante,Sonley,F,77,1973-09-27,Executive Secretary,missing,Mass Customer,N,No,14.0,0,48 Sheridan Road,3185,VIC,Australia,11
Elly,Ormshaw,F,30,1991-02-27,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,8.0,0,1879 Mitchell Center,2206,NSW,Australia,10
Kirsten,Longman,F,47,1992-04-12,Financial Advisor,Financial Services,Mass Customer,N,Yes,8.0,0,81114 7th Place,4869,QLD,Australia,4
Hercule,missing,M,2,1977-06-29,VP Marketing,Entertainment,Mass Customer,N,Yes,9.0,1,1 Nevada Park,4226,QLD,Australia,8
Juli,Prine,F,90,1964-12-06,Sales Associate,missing,Mass Customer,N,No,16.0,0,6 Buell Point,2062,NSW,Australia,12
Sigmund,Barkworth,M,16,1956-08-07,VP Marketing,missing,Mass Customer,N,No,15.0,1,4284 Debra Drive,4814,QLD,Australia,3
Coriss,Darkott,F,99,1985-08-01,Actuary,Financial Services,Affluent Customer,N,Yes,9.0,1,8 Hansons Street,3076,VIC,Australia,7
Forrester,McFetridge,M,88,1968-01-26,missing,Manufacturing,Affluent Customer,N,No,6.0,1,7674 Roxbury Junction,4815,QLD,Australia,4
Sullivan,Scullion,M,22,1994-09-30,Administrative Assistant IV,Financial Services,Affluent Customer,N,No,3.0,1,771 Sugar Way,2076,NSW,Australia,11
Mireielle,Avrasin,F,60,1980-05-03,Software Engineer IV,Financial Services,Mass Customer,N,Yes,11.0,0,1792 Judy Road,2539,NSW,Australia,6
Ivan,Blackhall,M,72,1977-08-31,Executive Secretary,Property,High Net Worth,N,No,7.0,0,92 Melvin Hill,2147,NSW,Australia,9
Jermayne,Hryniewicki,M,46,1977-07-03,Business Systems Development Analyst,missing,Mass Customer,N,No,18.0,1,592 Merry Lane,3184,VIC,Australia,3
Elli,Loxdale,F,77,1991-09-21,Statistician I,Retail,Mass Customer,N,Yes,5.0,0,6 Dapin Park,4503,QLD,Australia,6
Shellysheldon,Wickey,M,52,1982-09-15,Editor,Manufacturing,Mass Customer,N,Yes,16.0,0,03 Holmberg Park,4127,QLD,Australia,2
Deana,Rathbourne,F,32,1986-02-25,Executive Secretary,missing,Mass Customer,N,Yes,13.0,1,8587 Graceland Way,2206,NSW,Australia,10
Shannah,Gritsaev,F,70,1981-09-19,missing,Financial Services,High Net Worth,N,Yes,4.0,0,91 Messerschmidt Trail,3162,VIC,Australia,11
Michal,Paiton,M,95,1998-05-07,Desktop Support Technician,Telecommunications,Mass Customer,N,No,2.0,0,5998 Bayside Terrace,2526,NSW,Australia,9
Goraud,Boissieux,M,64,1955-03-06,Office Assistant IV,Health,Mass Customer,N,Yes,6.0,0,107 Moland Court,2579,NSW,Australia,5
Damon,Phelip,M,73,1996-12-12,Environmental Specialist,Health,High Net Worth,N,Yes,5.0,1,4439 7th Terrace,2177,NSW,Australia,9
Korella,Begin,F,80,1965-09-26,missing,Property,Mass Customer,N,Yes,14.0,0,2272 Dennis Alley,3165,VIC,Australia,10
Hadleigh,Birley,M,88,1992-08-31,Assistant Professor,Financial Services,High Net Worth,N,No,8.0,0,0 Scofield Plaza,3201,VIC,Australia,4
Tate,Studholme,M,71,1968-07-09,Health Coach II,Entertainment,High Net Worth,N,Yes,9.0,0,51152 Brickson Park Crossing,2768,NSW,Australia,9
Inigo,Ojeda,M,60,1987-09-28,Statistician IV,Financial Services,High Net Worth,N,No,5.0,0,4668 Coleman Street,2160,NSW,Australia,5
Ki,Odo,F,29,1967-09-30,Developer III,missing,Affluent Customer,N,Yes,14.0,0,8 Moland Junction,2148,NSW,Australia,7
Bernelle,Warwick,F,64,1975-09-26,Information Systems Manager,Financial Services,Mass Customer,N,Yes,13.0,0,1 Raven Junction,4502,QLD,Australia,4
Brena,Amburgy,F,27,1965-04-06,VP Product Management,Argiculture,High Net Worth,N,Yes,19.0,0,40570 Acker Alley,2166,NSW,Australia,9
Humfrid,Ducket,M,47,1998-06-23,Business Systems Development Analyst,Financial Services,Mass Customer,N,Yes,3.0,1,893 Petterle Trail,4551,QLD,Australia,10
Mirilla,Lothlorien,F,53,1995-01-17,Desktop Support Technician,Health,Mass Customer,N,Yes,3.0,0,84 Monument Terrace,4127,QLD,Australia,4
Chase,Youd,M,26,1974-11-24,Research Nurse,Health,Mass Customer,N,Yes,20.0,0,0103 Bay Junction,2222,NSW,Australia,11
Janetta,Hartrick,F,73,1994-01-15,VP Marketing,Property,Mass Customer,N,Yes,9.0,1,9618 Havey Place,2710,NSW,Australia,1
Breena,Risebrow,F,22,1997-10-16,Marketing Assistant,Argiculture,Mass Customer,N,Yes,1.0,0,098 Veith Hill,4510,QLD,Australia,3
Saunder,Camerati,M,69,1974-04-03,Research Nurse,Health,Affluent Customer,N,Yes,17.0,1,03058 Shoshone Lane,2090,NSW,Australia,12
Butch,Geertje,M,85,1985-02-17,Senior Quality Engineer,missing,Mass Customer,N,Yes,19.0,1,7975 Browning Plaza,3038,VIC,Australia,4
Elbert,Bridgement,M,94,1993-01-28,Librarian,Entertainment,Mass Customer,N,No,1.0,0,154 Cambridge Point,3551,VIC,Australia,8
Trisha,Nisuis,F,98,1965-04-08,Speech Pathologist,IT,Affluent Customer,N,No,10.0,0,3 Sachs Point,2250,NSW,Australia,7
Sibylle,Cutsforth,F,86,1977-01-14,Senior Quality Engineer,Retail,Mass Customer,N,No,15.0,0,0386 Mayfield Way,4122,QLD,Australia,7
Ambrose,Raiston,M,29,1990-04-13,Marketing Assistant,missing,Mass Customer,N,Yes,7.0,0,24 Merchant Plaza,3031,VIC,Australia,10
Manolo,Dwire,M,77,1981-11-13,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,0,353 Oneill Park,3145,VIC,Australia,9
Gilligan,Mowat,F,97,1977-01-09,Food Chemist,Health,Mass Customer,N,Yes,17.0,0,92867 Lukken Lane,3142,VIC,Australia,9
Fanni,Wakelin,F,58,1993-06-23,Administrative Assistant IV,Financial Services,High Net Worth,N,No,2.0,1,11 Corscot Plaza,2710,NSW,Australia,1
Fannie,Devil,F,40,1972-12-05,Quality Control Specialist,Health,Affluent Customer,N,No,8.0,0,13 Buhler Plaza,2576,NSW,Australia,8
Elberta,Crickett,F,20,1996-06-03,Software Test Engineer III,Health,Mass Customer,N,No,4.0,0,72673 Mayfield Trail,4209,QLD,Australia,6
Iosep,Shaddick,M,44,1965-02-16,Pharmacist,Health,Affluent Customer,N,No,18.0,1,42739 Moose Pass,3442,VIC,Australia,8
Kessiah,Corden,F,33,1967-08-09,Actuary,Financial Services,Mass Customer,N,Yes,13.0,1,3 Atwood Lane,2153,NSW,Australia,10
Lari,Rotte,F,62,1964-11-30,Assistant Professor,IT,Mass Customer,N,Yes,4.0,0,378 Prentice Point,4064,QLD,Australia,9
Ilise,Solloway,F,32,1971-08-15,Human Resources Manager,missing,Affluent Customer,N,Yes,8.0,1,95 Forest Run Drive,4152,QLD,Australia,8
Smith,Babbs,M,48,1974-04-12,Recruiter,missing,Mass Customer,N,Yes,17.0,0,20 Main Road,2230,NSW,Australia,9
Gertie,Chaim,F,58,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,0,71 Cherokee Hill,2127,NSW,Australia,7
Shellysheldon,Gooderridge,U,9,1970-01-01,Executive Secretary,IT,Mass Customer,N,No,0.0,0,698 Summer Ridge Way,2529,NSW,Australia,7
Paige,Hodgin,M,8,1985-09-22,Human Resources Manager,missing,Mass Customer,N,No,8.0,0,79 Grasskamp Center,2170,NSW,Australia,9
Celia,Dockerty,F,7,1976-01-16,Software Engineer IV,missing,Affluent Customer,N,Yes,7.0,0,6541 Dahle Junction,2212,NSW,Australia,9
Bobbette,Pozzi,F,47,1953-08-31,Food Chemist,Health,Affluent Customer,N,Yes,6.0,1,858 Swallow Parkway,2150,NSW,Australia,8
Angelo,Byne,M,1,1970-05-26,Pharmacist,Health,Mass Customer,N,No,13.0,1,0005 Independence Drive,2118,NSW,Australia,9
Kerry,Pashenkov,M,56,1988-08-15,Media Manager IV,Financial Services,High Net Worth,N,Yes,13.0,0,525 Kedzie Street,4012,QLD,Australia,8
Gaye,Quickenden,F,48,1975-08-17,Account Representative I,Financial Services,Affluent Customer,N,No,10.0,0,03890 Logan Court,2747,NSW,Australia,8
Brita,Plant,F,2,1978-06-06,Tax Accountant,Argiculture,Mass Customer,N,No,8.0,1,8 Clyde Gallagher Court,4217,QLD,Australia,8
Carolann,Ottiwill,F,84,1975-01-11,Data Coordiator,IT,Mass Customer,N,Yes,7.0,1,62 Elka Terrace,2430,NSW,Australia,3
Joe,Shalliker,M,50,1958-11-14,Media Manager II,missing,Affluent Customer,N,No,6.0,0,85931 Johnson Alley,3039,VIC,Australia,6
Auberta,Teodori,F,89,1968-10-07,Social Worker,Health,Mass Customer,N,No,13.0,0,63588 Clove Court,2017,NSW,Australia,9
Xena,Rossbrooke,F,17,2000-07-23,VP Product Management,missing,Mass Customer,N,Yes,2.0,0,86 Stang Way,2213,NSW,Australia,10
Brantley,Cecchi,M,70,1977-05-28,Help Desk Operator,Manufacturing,Affluent Customer,N,Yes,20.0,0,84 Westridge Hill,2061,NSW,Australia,10
Antonino,Hogben,M,65,1998-10-21,missing,Financial Services,Mass Customer,N,No,1.0,0,53740 Vera Parkway,3644,VIC,Australia,1
Sally,Cominoli,F,14,1984-02-23,Statistician IV,missing,Affluent Customer,N,Yes,4.0,0,2 Ramsey Parkway,2104,NSW,Australia,11
Mart,Bazoche,M,22,1988-08-29,Geologist I,Health,High Net Worth,N,Yes,8.0,0,651 Mesta Drive,3173,VIC,Australia,9
Sib,Gilby,F,67,1968-09-07,Assistant Professor,Financial Services,Affluent Customer,N,Yes,10.0,0,1 Merrick Parkway,2830,NSW,Australia,2
